Taxon,GB1,GB2,GB3,GB4,GB5,GB6,GB7
Baetidae,129,27,22,54,16,1,36
Capniidae,1,,,,,,
Chironomidae,2,,1,1,,,
Chloroperlidae,2,,,1,,1,
Dytiscidae,,2,,1,2,1,1
Elmidae,3,1,1,2,1,2,1
Gammaridae,2,2,3,2,2,2,2
Glossiphoniidae,1,,,,,,
Goeridae,1,,,,,,1
Helodidae,1,,,,,,
Heptageniidae,3,2,2,2,2,2,2
Hydraenidae,1,,,,,,
Hydropsychidae,1,,,,,,
Leptophlebiidae,1,,1,2,1,2,1
Leuctridae,3,,2,2,1,2,1
Limnephilidae,1,,1,,,,
Nemouridae,2,,1,1,,,1
Odontoceridae,1,1,,,,1,2
Oligochaeta,2,1,1,1,,,2
Perlodidae,2,1,2,1,2,1,2
Rhyacophilidae,2,,1,,,,
Sialidae,,,,1,,,
Simuliidae,1,,1,,,,
Taeniopterygidae,2,,1,,,,1
Tipulidae,1,,1,1,1,,1
